participant_id,timestamp,age,semester,semester_raw,department_raw,department,gender,caregiver_raw,caregiver,family_moves,friends_have,friends_want,friend_gap,attachment_style,vignette_secure,vignette_preoccupied,vignette_dismissing,vignette_fearful,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety,avoidance_1,avoidance_2,avoidance_3,avoidance_4,avoidance,scenario_anx_1,scenario_anx_2,scenario_anx_3,scenario_anx_4,scenario_anx_5,scenario_anx_6,scenario_anx,scenario_expect_1,scenario_expect_2,scenario_expect_3,scenario_expect_4,scenario_expect_5,scenario_expect_6,scenario_expect,fne_1,fne_2,fne_3,fne_4,fne_5,fne_6,fne,loneliness_1,loneliness_2,loneliness_3,loneliness,convo_started,approach_inhibition,avoid_rank_1,avoid_sel_1,avoid_rank_2,avoid_sel_2,avoid_rank_3,avoid_sel_3,avoid_rank_4,avoid_sel_4,avoid_rank_5,avoid_sel_5,avoid_rank_6,avoid_sel_6,n_situations_avoided,willing_followup,longstring,item_sd,straightlining_flag,nonsense_row_flag,undergraduate_flag,graduated_flag,analytic_sample
P017,2026-08-17 08:07:55,22.0,4.0,4th,Eee,EEE,Man,Both parents,Both parents,0,4.0,4.0,0.0,Secure,5,1,4,2,1,1,1,1,1.0,7,7,4,2,5.0,1,1,3,1,1,1,1.3333333333333333,6,6,2,6,6,6,5.333333333333333,1,1,1,1,3,1,1.3333333333333333,1,1,1,1.0,2,0,,0,,0,,0,,0,,0,,0,0,"No, thank you",4,2.2601713174528277,0,0,1,0,1
P018,2026-08-17 08:08:16,22.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,2,3.0,3.0,0.0,Fearful,4,6,7,6,3,3,3,6,3.75,6,6,4,6,5.5,2,4,1,3,1,1,2.0,2,4,1,3,1,1,2.0,2,5,5,4,4,4,4.0,3,3,3,3.0,1,2,3.0,1,2.0,1,1.0,1,,0,,0,,0,3,"No, thank you",3,1.6400168207716022,0,0,1,0,1
P019,2026-08-17 08:55:12,22.0,5.0,5th,Pharmacy ,PHR,Woman,Both parents,Both parents,2,3.0,2.0,-1.0,Fearful,3,1,5,6,2,6,6,6,5.0,7,5,5,5,5.5,2,2,6,3,3,3,3.1666666666666665,1,5,1,4,6,3,3.3333333333333335,2,3,3,4,4,5,3.5,2,3,1,2.0,2,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",3,1.7504397758469141,0,0,1,0,1
P020,2026-08-17 09:12:28,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,6.0,2.0,Preoccupied,3,7,3,6,4,7,5,6,5.5,6,4,2,4,4.0,4,4,4,4,4,4,4.0,5,5,5,5,5,5,5.0,5,4,4,5,5,5,4.666666666666667,3,3,3,3.0,1,4,1.0,1,,0,,0,,0,,0,2.0,1,2,"No, thank you",7,1.0207212749728822,0,0,1,0,1
P021,2026-08-17 09:17:44,26.0,,Gradeuated,MNS (Biotech),MNS,Man,Both parents,Both parents,0,2.0,4.0,2.0,Fearful,7,7,7,5,4,7,1,2,3.5,7,7,6,7,6.75,1,1,1,1,1,1,1.0,3,3,3,3,3,3,3.0,5,5,5,5,5,5,5.0,2,4,4,3.3333333333333335,0,3,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",6,2.0600588255028107,0,0,0,1,1
P022,2026-08-17 09:22:29,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,3.0,3.0,0.0,Secure,6,3,6,5,4,3,4,6,4.25,6,5,3,5,4.75,2,2,2,2,3,3,2.3333333333333335,5,5,5,6,5,5,5.166666666666667,2,2,3,3,3,2,2.5,2,1,2,1.6666666666666667,4,1,3.0,1,,0,2.0,1,,0,,0,,0,2,"No, thank you",4,1.5028708160235102,0,0,1,0,1
P023,2026-08-17 09:22:34,22.0,5.0,5th,CS,CSE,Man,Both parents,Both parents,1,8.0,8.0,0.0,Secure,6,2,1,3,4,3,3,2,3.0,6,5,1,6,4.5,5,2,5,1,6,2,3.5,3,5,3,1,6,5,3.8333333333333335,2,3,4,4,2,3,3.0,2,1,3,2.0,3,1,2.0,1,,0,1.0,1,,0,3.0,1,,0,3,"No, thank you",2,1.6564547577679325,0,0,1,0,1
P024,2026-08-17 09:31:56,22.0,5.0,5th,Cse,CSE,Man,Both parents,Both parents,1,3.0,3.0,0.0,Secure,7,2,5,6,2,1,2,2,1.75,6,4,3,7,5.0,1,1,2,1,2,1,1.3333333333333333,5,5,5,6,1,5,4.5,2,2,2,4,4,2,2.6666666666666665,2,2,2,2.0,2,1,,0,,0,,0,,0,,0,,0,0,Yes — either is fine,4,1.7797437132152103,0,0,1,0,1
P025,2026-08-17 09:32:50,21.0,5.0,5th,CSE,CSE,Woman,Both parents,Both parents,0,5.0,4.0,-1.0,Secure,4,2,4,1,4,3,2,1,2.5,1,2,4,4,2.75,3,1,5,1,5,4,3.1666666666666665,2,3,4,3,5,6,3.8333333333333335,3,4,4,3,5,5,4.0,2,2,3,2.3333333333333335,1,1,2.0,1,1.0,1,3.0,1,,0,,0,,0,3,"No, thank you",2,1.405478373411729,0,0,1,0,1
P026,2026-08-17 09:38:35,20.0,5.0,5th,ECO,ECO,Man,Both parents,Both parents,1,5.0,5.0,0.0,Dismissing,3,5,6,5,4,6,3,2,3.75,5,5,2,2,3.5,5,4,6,1,3,1,3.3333333333333335,5,5,4,6,5,6,5.166666666666667,3,2,3,4,4,2,3.0,2,3,3,2.6666666666666665,1,2,,0,,0,2.0,1,3.0,1,1.0,1,,0,3,"No, thank you",2,1.5417027244707049,0,0,1,0,1
P027,2026-08-17 10:07:43,20.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,5.0,5.0,0.0,Dismissing,5,2,6,4,2,2,1,4,2.25,4,6,4,7,5.25,4,4,6,1,5,2,3.6666666666666665,3,2,4,1,4,2,2.6666666666666665,2,2,2,3,3,2,2.3333333333333335,3,3,3,3.0,2,3,2.0,1,3.0,1,,0,,0,1.0,1,,0,3,Yes — either is fine,4,1.5288683473881326,0,0,1,0,1
P028,2026-08-17 10:18:17,20.0,3.0,3rd,EEE,EEE,Man,Both parents,Both parents,3,4.0,7.0,3.0,Preoccupied,4,4,4,5,6,4,6,3,4.75,4,5,3,4,4.0,3,3,5,2,6,6,4.166666666666667,3,3,5,5,2,2,3.3333333333333335,5,4,4,4,4,5,4.333333333333333,3,3,2,2.6666666666666665,1,2,1.0,1,,0,,0,,0,2.0,1,3.0,1,3,"No, thank you",4,1.2798167972341816,0,0,1,0,1
P029,2026-08-17 10:30:26,23.0,5.0,5th,PHY,MNS,Man,Both parents,Both parents,1,3.0,3.0,0.0,Dismissing,5,5,7,3,5,5,2,1,3.25,6,6,5,4,5.25,4,5,5,1,4,1,3.3333333333333335,5,3,2,4,3,6,3.8333333333333335,2,3,3,2,4,1,2.5,2,3,3,2.6666666666666665,2,2,2.0,1,3.0,1,1.0,1,,0,,0,,0,3,"No, thank you",2,1.594324910795245,0,0,1,0,1
P030,2026-08-17 10:32:24,21.0,6.0,6th,EEE,EEE,Woman,Househelp ,Other,0,2.0,1.0,-1.0,Dismissing,4,1,7,7,1,4,5,7,4.25,7,7,7,7,7.0,1,2,1,1,1,2,1.3333333333333333,6,4,6,6,1,6,4.833333333333333,3,1,1,3,4,2,2.3333333333333335,2,2,2,2.0,2,2,2.0,1,3.0,1,,0,,0,,0,,0,2,"No, thank you",5,2.339424374486357,0,0,1,0,1
P031,2026-08-17 10:33:20,23.0,9.0,9th,CSE,CSE,Man,Grandparents or other relatives,Grandparents / other relatives,2,3.0,3.0,0.0,Fearful,4,3,5,5,6,6,6,5,5.75,6,5,7,6,6.0,5,2,6,2,4,5,4.0,3,5,1,5,5,2,3.5,4,4,4,5,5,5,4.5,4,3,2,3.0,1,4,3.0,1,1.0,1,2.0,1,,0,,0,,0,3,Yes — either is fine,3,1.5240275911289034,0,0,1,0,1
P032,2026-08-17 10:36:20,22.0,6.0,6th,CSE ,CSE,Man,Grandparents or other relatives,Grandparents / other relatives,0,1.0,5.0,4.0,Secure,4,3,3,4,7,7,3,3,5.0,7,3,1,3,3.5,1,3,1,1,1,6,2.1666666666666665,1,1,3,6,6,1,3.0,1,1,1,1,4,3,1.8333333333333333,3,3,3,3.0,1,2,3.0,1,2.0,1,,0,,0,1.0,1,,0,3,"No, thank you",5,2.1032463764849436,0,0,1,0,1
P033,2026-08-17 10:39:56,24.0,5.0,5th,CSE,CSE,Man,One parent,One parent,0,4.0,1.0,-3.0,Dismissing,4,5,5,4,2,6,5,5,4.5,6,7,3,1,4.25,1,1,1,1,6,1,1.8333333333333333,6,6,6,6,6,6,6.0,4,1,1,1,1,2,1.6666666666666667,3,3,1,2.3333333333333335,1,2,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",6,2.2915565729638,0,0,1,0,1
P034,2026-08-17 10:41:39,21.0,5.0,5th,cse,CSE,Man,One parent,One parent,0,0.0,0.0,0.0,Dismissing,7,1,7,7,1,1,5,3,2.5,7,7,7,7,7.0,6,6,6,6,1,1,4.333333333333333,6,6,6,6,6,6,6.0,5,5,5,1,1,5,3.6666666666666665,4,4,4,4.0,0,2,,0,2.0,1,,0,3.0,1,1.0,1,,0,3,Yes — either is fine,6,2.1114279714964788,0,0,1,0,1
P035,2026-08-17 10:45:04,20.0,4.0,4th,EEE,EEE,Man,Both parents,Both parents,1,15.0,15.0,0.0,Secure,6,2,5,2,1,1,1,1,1.0,7,3,4,5,4.75,4,2,6,1,1,2,2.6666666666666665,3,5,2,6,5,5,4.333333333333333,3,2,1,2,2,2,2.0,1,1,1,1.0,4,2,2.0,1,,0,,0,,0,3.0,1,1.0,1,3,"No, thank you",4,1.8642342819849869,0,0,1,0,1
P036,2026-08-17 10:45:45,22.0,5.0,5th,EEE,EEE,Man,Both parents,Both parents,1,0.0,2.0,2.0,Fearful,5,4,4,4,2,2,2,2,2.0,2,2,2,2,2.0,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3.0,3,4,2,3.0,2,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",19,0.527565278570064,1,0,1,0,1
P037,2026-08-17 10:56:15,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,7.0,3.0,Secure,7,1,7,1,1,1,1,2,1.25,5,5,3,1,3.5,1,1,4,1,1,1,1.5,1,1,4,1,3,3,2.1666666666666665,1,1,2,1,3,1,1.5,1,1,1,1.0,2,2,2.0,1,,0,,0,,0,1.0,1,3.0,1,3,"No, thank you",5,1.311187180634443,0,0,1,0,1
P038,2026-08-17 11:08:10,22.0,7.0,7th,CSE,CSE,Man,One parent,One parent,2,2.0,2.0,0.0,Dismissing,6,1,6,2,3,4,2,5,3.5,6,3,2,6,4.25,1,3,5,2,1,2,2.3333333333333335,5,5,4,6,5,4,4.833333333333333,2,2,2,4,4,2,2.6666666666666665,2,1,2,1.6666666666666667,0,3,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",3,1.601261817713454,0,0,1,0,1
P039,2026-08-17 11:22:44,23.0,5.0,5th,EEE,EEE,Man,Both parents,Both parents,0,5.0,5.0,0.0,Secure,5,6,4,4,3,4,4,2,3.25,7,4,2,4,4.25,6,6,6,1,6,1,4.333333333333333,4,4,4,6,6,6,5.0,4,3,3,5,5,5,4.166666666666667,1,1,1,1.0,1,2,1.0,1,2.0,1,,0,,0,3.0,1,,0,3,"No, thank you",3,1.8503095201065802,0,0,1,0,1
P040,2026-08-17 11:32:13,22.0,2.0,2nd,CSE,CSE,Man,Both parents,Both parents,0,2.0,1.0,-1.0,Dismissing,7,7,7,7,7,3,3,1,3.5,4,5,1,4,3.5,1,1,1,1,2,1,1.1666666666666667,6,6,6,6,1,6,5.166666666666667,1,1,1,1,3,1,1.3333333333333333,3,3,1,2.3333333333333335,2,3,,0,1.0,1,,0,,0,,0,,0,1,"No, thank you",4,2.0938568368448625,0,0,1,0,1
P041,2026-08-17 12:03:57,23.0,5.0,5th,Arc,ARC,Man,Both parents,Both parents,0,5.0,5.0,0.0,Dismissing,2,3,6,5,4,2,1,1,2.0,6,6,5,5,5.5,5,4,6,2,4,4,4.166666666666667,4,5,2,6,3,5,4.166666666666667,3,1,2,2,5,3,2.6666666666666665,4,4,3,3.6666666666666665,2,2,1.0,1,2.0,1,,0,,0,3.0,1,,0,3,"No, thank you",3,1.5834737644058319,0,0,1,0,1
P042,2026-08-17 12:29:28,22.0,5.0,5th,EEE,EEE,Man,Both parents,Both parents,0,4.0,5.0,1.0,Dismissing,5,3,5,2,5,3,2,5,3.75,5,5,5,4,4.75,5,5,5,2,4,4,4.166666666666667,2,4,2,5,4,4,3.5,2,2,2,3,4,2,2.5,3,3,3,3.0,1,3,3.0,1,1.0,1,,0,,0,2.0,1,,0,3,"No, thank you",4,1.2105854952787556,0,0,1,0,1
P043,2026-08-17 12:39:34,23.0,5.0,5th,PHR,PHR,Woman,One parent,One parent,1,0.0,6.0,6.0,Fearful,4,5,4,6,4,7,6,3,5.0,7,7,7,7,7.0,4,3,3,2,3,4,3.1666666666666665,5,5,3,6,4,4,4.5,3,3,3,3,2,5,3.1666666666666665,2,3,3,2.6666666666666665,0,1,,0,,0,,0,,0,,0,,0,0,"No, thank you",4,1.6705209948063122,0,0,1,0,1
P044,2026-08-17 13:18:53,23.0,10.0,10th,Cse,CSE,Man,Both parents,Both parents,1,3.0,1.0,-2.0,Preoccupied,5,3,4,3,3,4,4,4,3.75,6,4,6,5,5.25,5,4,4,3,4,3,3.8333333333333335,4,5,4,5,3,5,4.333333333333333,5,4,5,4,5,4,4.5,1,3,1,1.6666666666666667,0,0,1.0,1,3.0,1,2.0,1,,0,,0,,0,3,"No, thank you",3,1.1796718254512764,0,0,1,0,1
P045,2026-08-17 13:29:58,21.0,4.0,4th,CSE,CSE,Man,One parent,One parent,0,6.0,3.0,-3.0,Dismissing,4,2,7,1,1,1,1,1,1.0,6,2,1,3,3.0,4,1,3,1,6,6,3.5,6,6,6,1,3,4,4.333333333333333,1,1,1,1,4,1,1.5,1,1,1,1.0,1,0,1.0,1,2.0,1,,0,,0,,0,3.0,1,3,"No, thank you",5,2.044456640690877,0,0,1,0,1
P046,2026-08-17 13:43:51,21.0,4.0,4th,CSE,CSE,Man,Both parents,Both parents,3,0.0,1.0,1.0,Dismissing,2,1,7,6,4,4,6,1,3.75,6,6,6,7,6.25,6,4,3,1,2,1,2.8333333333333335,5,5,5,5,4,2,4.333333333333333,3,1,4,4,4,4,3.3333333333333335,4,4,4,4.0,2,3,3.0,1,,0,,0,,0,1.0,1,2.0,1,3,"No, thank you",7,1.6793442304468058,0,0,1,0,1
P047,2026-08-17 13:59:34,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,10.0,10.0,0.0,Secure,6,2,6,4,3,4,5,2,3.5,5,6,3,6,5.0,1,3,1,1,2,2,1.6666666666666667,6,5,6,5,4,5,5.166666666666667,2,2,2,1,5,2,2.3333333333333335,2,2,3,2.3333333333333335,3,3,,0,1.0,1,3.0,1,,0,2.0,1,,0,3,Yes — either is fine,3,1.7341825632157577,0,0,1,0,1
P048,2026-08-17 14:11:22,19.0,1.0,1st,BIO,MNS,Woman,One parent,One parent,0,4.0,6.0,2.0,Fearful,1,4,1,3,5,7,7,6,6.25,6,7,2,6,5.25,4,2,4,1,6,5,3.6666666666666665,4,5,5,6,2,2,4.0,1,1,1,1,1,1,1.0,3,2,2,2.3333333333333335,2,2,,0,1.0,1,,0,,0,2.0,1,3.0,1,3,"No, thank you",6,2.194372560883997,0,0,1,0,1
P049,2026-08-17 14:11:59,20.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,1,3.0,10.0,7.0,Dismissing,3,5,5,5,1,3,1,5,2.5,6,6,5,2,4.75,4,3,4,2,3,4,3.3333333333333335,4,6,4,6,5,4,4.833333333333333,4,3,4,4,4,4,3.8333333333333335,3,3,3,3.0,2,1,,0,1.0,1,,0,,0,,0,,0,1,"No, thank you",4,1.3464055413482965,0,0,1,0,1
P050,2026-08-17 14:45:17,22.0,7.0,7th,CSE,CSE,Man,Both parents,Both parents,2,6.0,2.0,-4.0,Dismissing,5,2,7,3,4,4,2,2,3.0,7,5,4,2,4.5,3,2,4,1,5,4,3.1666666666666665,5,5,3,6,3,4,4.333333333333333,4,2,4,2,3,3,3.0,2,3,3,2.6666666666666665,3,1,3.0,1,2.0,1,1.0,1,,0,,0,,0,3,"No, thank you",2,1.3789408372052496,0,0,1,0,1
P051,2026-08-17 15:03:49,19.0,1.0,1st,BIO,MNS,Man,Both parents,Both parents,1,6.0,7.0,1.0,Preoccupied,6,5,4,3,4,4,4,5,4.25,4,4,2,3,3.25,2,2,3,1,2,4,2.3333333333333335,5,5,4,6,5,5,5.0,3,5,2,4,2,4,3.3333333333333335,2,2,2,2.0,1,1,3.0,1,,0,1.0,1,2.0,1,,0,,0,3,"No, thank you",3,1.3252009792737027,0,0,1,0,1
P052,2026-08-17 15:25:09,22.0,12.0,12th,CSE,CSE,Woman,Both parents,Both parents,1,2.0,1.0,-1.0,Fearful,1,1,1,3,4,2,1,4,2.75,7,7,7,7,7.0,4,6,3,1,2,6,3.6666666666666665,5,5,5,6,5,6,5.333333333333333,5,3,2,5,4,3,3.6666666666666665,3,2,3,2.6666666666666665,2,2,1.0,1,,0,2.0,1,,0,,0,3.0,1,3,"No, thank you",4,1.8449772049268,0,0,1,0,1
P053,2026-08-17 15:42:29,23.0,9.0,9th,CS,CSE,Woman,Both parents,Both parents,0,2.0,4.0,2.0,Fearful,5,3,6,7,4,1,1,1,1.75,7,3,5,4,4.75,1,1,5,1,1,2,1.8333333333333333,5,4,2,6,4,4,4.166666666666667,5,3,2,4,4,4,3.6666666666666665,1,3,2,2.0,2,2,3.0,1,1.0,1,2.0,1,,0,,0,,0,3,"No, thank you",3,1.7391464981052982,0,0,1,0,1
P054,2026-08-17 15:46:31,20.0,4.0,4th,LAW,LAW,Woman,Both parents,Both parents,2,2.0,4.0,2.0,Fearful,2,2,1,6,7,7,7,7,7.0,4,2,1,1,2.0,6,6,6,1,6,2,4.5,2,4,1,6,1,6,3.3333333333333335,5,5,5,5,5,5,5.0,3,4,4,3.6666666666666665,1,3,2.0,1,1.0,1,,0,,0,3.0,1,,0,3,"No, thank you",6,2.0856063134209393,0,0,1,0,1
P055,2026-08-17 16:02:24,22.0,6.0,6th,CSE ,CSE,Man,Grandparents or other relatives,Grandparents / other relatives,0,1.0,5.0,4.0,Preoccupied,7,4,7,1,1,1,1,1,1.0,7,1,7,7,5.5,1,1,3,2,2,2,1.8333333333333333,1,2,2,1,5,5,2.6666666666666665,4,4,3,5,4,3,3.8333333333333335,1,1,1,1.0,0,3,,0,1.0,1,,0,3.0,1,,0,2.0,1,3,"No, thank you",4,2.0159462812453595,0,0,1,0,1
P056,2026-08-17 17:09:04,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,3,3.0,4.0,1.0,Dismissing,4,2,7,3,6,4,3,6,4.75,5,6,5,7,5.75,2,4,5,1,1,2,2.5,1,2,5,1,2,2,2.1666666666666665,3,2,2,3,5,2,2.8333333333333335,3,2,2,2.3333333333333335,1,3,1.0,1,,0,2.0,1,,0,3.0,1,,0,3,"No, thank you",2,1.7859605741487674,0,0,1,0,1
