participant_id,timestamp,age,semester,semester_raw,department_raw,department,gender,caregiver_raw,caregiver,family_moves,friends_have,friends_want,friend_gap,attachment_style,vignette_secure,vignette_preoccupied,vignette_dismissing,vignette_fearful,anxiety_1,anxiety_2,anxiety_3,anxiety_4,anxiety,avoidance_1,avoidance_2,avoidance_3,avoidance_4,avoidance,scenario_anx_1,scenario_anx_2,scenario_anx_3,scenario_anx_4,scenario_anx_5,scenario_anx_6,scenario_anx,scenario_expect_1,scenario_expect_2,scenario_expect_3,scenario_expect_4,scenario_expect_5,scenario_expect_6,scenario_expect,fne_1,fne_2,fne_3,fne_4,fne_5,fne_6,fne,loneliness_1,loneliness_2,loneliness_3,loneliness,convo_started,approach_inhibition,avoid_rank_1,avoid_sel_1,avoid_rank_2,avoid_sel_2,avoid_rank_3,avoid_sel_3,avoid_rank_4,avoid_sel_4,avoid_rank_5,avoid_sel_5,avoid_rank_6,avoid_sel_6,n_situations_avoided,willing_followup,longstring,item_sd,straightlining_flag,nonsense_row_flag,undergraduate_flag,graduated_flag,analytic_sample,z_fne,z_sanx,z_lone,z_fri,z_inh,z_conv,reported_distress,social_cost,D,male,anx_c,avo_c,anx_x_avo,refused,cost2,distress2,D2
P012,2026-08-17 04:15:57,22.0,5.0,5 th,CSE,CSE,Man,Both parents,Both parents,1,10.0,3.0,-7.0,Secure,7,7,7,5,6,7,6,6,6.25,6,7,4,7,6.0,5,3,3,3,2,5,3.5,5,5,4,4,5,5,4.666666666666667,4,4,5,5,5,4,4.5,3,2,3,2.6666666666666665,4,2,1.0,1,,0,3.0,1,,0,2.0,1,,0,3,Yes — a group discussion,3,1.4019690586383533,0,0,1,0,1,1.3668478084322655,0.4622316442938047,0.3242937589252414,-2.8727491479845,0.1780405918673101,-2.007882112061979,0.9145397263630352,-1.094574227313482,-2.009113953676517,1.0,2.771844660194174,1.480582524271845,4.103944763879724,0.0,-1.2742276945296294,0.9145397263630353,-2.1887674208926646
P013,2026-08-17 04:36:40,23.0,7.0,7th,SLS,SLS,Woman,Both parents,Both parents,1,0.0,1.0,1.0,Fearful,4,1,7,7,7,1,4,4,4.0,7,7,4,7,6.25,4,6,1,4,6,6,4.5,4,4,6,6,1,4,4.166666666666667,1,1,3,5,5,3,3.0,4,4,4,4.0,3,3,,0,,0,,0,2.0,1,3.0,1,1.0,1,3,"No, thank you",3,1.9208475140973045,0,0,1,0,1,0.1048279693717972,1.371974179878426,1.9536721574276728,1.2659572516541864,1.1432080109374658,-1.1602925319702424,0.7384010746251116,0.8006362220122707,0.062235147387159,0.0,0.5218446601941746,1.730582524271845,0.9030952493166178,1.0,1.6098147045409297,0.7384010746251116,0.871413629915818
P014,2026-08-17 06:58:39,23.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,0.0,4.0,4.0,Fearful,5,6,6,6,7,5,2,2,4.0,6,6,2,6,5.0,2,6,2,3,1,1,2.5,2,6,1,3,1,1,2.333333333333333,5,5,5,5,5,5,5.0,3,3,4,3.333333333333333,1,2,2.0,1,1.0,1,,0,,0,3.0,1,,0,3,"No, thank you",6,1.934901125259898,0,0,1,0,1,1.7875210881190886,-0.4475108912908164,1.138982958176457,1.2659572516541864,0.1780405918673101,0.5348866282132322,0.6700050984141361,0.7794668574777964,0.1094617590636602,1.0,0.5218446601941746,0.4805825242718446,0.2507894240738995,1.0,1.2024701049153217,0.6700050984141361,0.5324650065011856
P015,2026-08-17 07:23:00,21.0,5.0,5th,Cse ,CSE,Man,Both parents,Both parents,2,5.0,1.0,-4.0,Secure,6,5,6,1,3,5,3,5,4.0,5,2,3,1,2.75,2,4,5,3,2,5,3.5,2,5,4,4,5,4,4.0,1,1,1,1,1,1,1.0,1,1,1,1.0,4,0,1.0,1,2.0,1,,0,3.0,1,,0,,0,3,"No, thank you",9,1.6339983901204609,0,0,1,0,1,-1.577865149375494,0.4622316442938047,-1.7124292392027978,-0.8033959481651568,-1.752294246273001,-2.007882112061979,-0.5578167525408446,-1.5690003864257336,-1.011183633884889,1.0,0.5218446601941746,-1.769417475728155,-0.9233610613629936,1.0,-1.2579125936839772,-0.5578167525408446,-0.7000958411431326
P016,2026-08-17 07:42:08,21.0,6.0,6,EEE,EEE,Man,Both parents,Both parents,2,3.0,3.0,0.0,Dismissing,2,4,7,5,5,5,5,5,5.0,7,6,5,6,6.0,2,5,3,3,4,4,3.5,4,5,1,3,3,5,3.5,5,4,4,3,4,4,4.0,3,3,3,3.0,1,3,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",4,1.2913123885137414,0,0,1,0,1,0.9461745287454428,0.4622316442938047,0.7316383585508495,0.0243453317625804,1.1432080109374658,0.5348866282132322,0.7042030865196238,0.608519582366032,-0.0956835041535918,1.0,1.5218446601941746,1.480582524271845,2.2532166085399186,1.0,0.37799184515671497,0.7042030865196238,-0.32621124136290885
P017,2026-08-17 08:07:55,22.0,4.0,4th,Eee,EEE,Man,Both parents,Both parents,0,4.0,4.0,0.0,Secure,5,1,4,2,1,1,1,1,1.0,7,7,4,2,5.0,1,1,3,1,1,1,1.3333333333333333,6,6,2,6,6,6,5.333333333333333,1,1,1,1,3,1,1.3333333333333333,1,1,1,1.0,2,0,,0,,0,,0,,0,,0,,0,0,"No, thank you",4,2.260171317452828,0,0,1,0,1,-1.2974162962509457,-1.508877182806208,-1.7124292392027978,-0.3895253082012882,-1.752294246273001,-0.312702951878505,-1.4031467395285766,-1.041737936388898,0.3614088031396787,1.0,-2.4781553398058254,0.4805825242718446,-1.1909581487416343,1.0,-1.050977273702043,-1.4031467395285766,0.3521694658265335
P018,2026-08-17 08:08:16,22.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,2,3.0,3.0,0.0,Fearful,4,6,7,6,3,3,3,6,3.75,6,6,4,6,5.5,2,4,1,3,1,1,2.0,2,4,1,3,1,1,2.0,2,5,5,4,4,4,4.0,3,3,3,3.0,1,2,3.0,1,2.0,1,1.0,1,,0,,0,,0,3,"No, thank you",3,1.6400168207716022,0,0,1,0,1,0.9461745287454428,-0.902382159083127,0.7316383585508495,0.0243453317625804,0.1780405918673101,0.5348866282132322,0.0218961848311579,0.3672277275984931,0.3453315427673351,1.0,0.2718446601941746,0.9805825242718448,0.2665661231030256,1.0,0.37799184515671497,0.02189618483115796,0.356095660325557
P019,2026-08-17 08:55:12,22.0,5.0,5th,Pharmacy ,PHR,Woman,Both parents,Both parents,2,3.0,2.0,-1.0,Fearful,3,1,5,6,2,6,6,6,5.0,7,5,5,5,5.5,2,2,6,3,3,3,3.1666666666666665,1,5,1,4,6,3,3.333333333333333,2,3,3,4,4,5,3.5,2,3,1,2.0,2,2,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",3,1.750439775846914,0,0,1,0,1,0.5255012490586201,0.1589841324322642,-0.4903954403259741,0.0243453317625804,0.1780405918673101,-0.312702951878505,0.3422426907454421,-0.1501781171436471,-0.4924208078890892,0.0,1.5218446601941746,0.9805825242718448,1.4922942784428317,1.0,-0.23302505428169687,0.3422426907454421,-0.575267745027139
P020,2026-08-17 09:12:28,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,4.0,6.0,2.0,Preoccupied,3,7,3,6,4,7,5,6,5.5,6,4,2,4,4.0,4,4,4,4,4,4,4.0,5,5,5,5,5,5,5.0,5,4,4,5,5,5,4.666666666666667,3,3,3,3.0,1,4,1.0,1,,0,,0,,0,,0,2.0,1,2,"No, thank you",7,1.0207212749728822,0,0,1,0,1,1.5070722349945402,0.9171029120861154,0.7316383585508495,-0.3895253082012882,2.108375430007621,0.5348866282132322,1.2120875735403278,0.7463437771426037,-0.4657437963977241,1.0,2.021844660194174,-0.5194174757281553,-1.0501814497125082,1.0,0.17105652517478062,1.2120875735403278,-1.0410310483655472
P021,2026-08-17 09:17:44,26.0,,Gradeuated,MNS (Biotech),MNS,Man,Both parents,Both parents,0,2.0,4.0,2.0,Fearful,7,7,7,5,4,7,1,2,3.5,7,7,6,7,6.75,1,1,1,1,1,1,1.0,3,3,3,3,3,3,3.0,5,5,5,5,5,5,5.0,2,4,4,3.333333333333333,0,3,1.0,1,2.0,1,3.0,1,,0,,0,,0,3,"No, thank you",6,2.0600588255028107,0,0,0,1,1,1.7875210881190886,-1.8121246946677485,1.138982958176457,0.438215971726449,1.1432080109374658,1.3824762083049695,-0.0123018032743298,1.0257207872863354,1.0380225905606653,1.0,0.0218446601941746,2.2305825242718447,0.0487263172777827,1.0,0.788599464951453,-0.012301803274329837,0.8009012682257829
P022,2026-08-17 09:22:29,21.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,3.0,3.0,0.0,Secure,6,3,6,5,4,3,4,6,4.25,6,5,3,5,4.75,2,2,2,2,3,3,2.333333333333333,5,5,5,6,5,5,5.166666666666667,2,2,3,3,3,2,2.5,2,1,2,1.6666666666666667,4,1,3.0,1,,0,2.0,1,,0,,0,,0,2,"No, thank you",4,1.5028708160235102,0,0,1,0,1,-0.3158453103150255,-0.5991346472215869,-0.8977400399515819,0.0243453317625804,-0.7871268272028454,-2.007882112061979,-0.4574899787683062,-0.9171009118634564,-0.4596109330951503,1.0,0.7718446601941746,0.2305825242718446,0.1779738900933169,1.0,-0.4366973540945007,-0.4574899787683062,0.020792624673805493
P023,2026-08-17 09:22:34,22.0,5.0,5th,CS,CSE,Man,Both parents,Both parents,1,8.0,8.0,0.0,Secure,6,2,1,3,4,3,3,2,3.0,6,5,1,6,4.5,5,2,5,1,6,2,3.5,3,5,3,1,6,5,3.8333333333333335,2,3,4,4,2,3,3.0,2,1,3,2.0,3,1,2.0,1,,0,1.0,1,,0,3.0,1,,0,3,"No, thank you",2,1.6564547577679325,0,0,1,0,1,0.1048279693717972,0.4622316442938047,-0.4903954403259741,-2.045007868056763,-0.7871268272028454,-1.1602925319702424,0.283529806832801,-1.1207056668889563,-1.4042354737217573,1.0,-0.4781553398058253,-0.0194174757281553,0.0092845697049674,1.0,-1.2677016541913686,0.28352980683280105,-1.5512314610241695
P024,2026-08-17 09:31:56,22.0,5.0,5th,Cse,CSE,Man,Both parents,Both parents,1,3.0,3.0,0.0,Secure,7,2,5,6,2,1,2,2,1.75,6,4,3,7,5.0,1,1,2,1,2,1,1.3333333333333333,5,5,5,6,1,5,4.5,2,2,2,4,4,2,2.6666666666666665,2,2,2,2.0,2,1,,0,,0,,0,,0,,0,,0,0,Yes — either is fine,4,1.7797437132152103,0,0,1,0,1,-0.1756208837527514,-1.508877182806208,-0.4903954403259741,0.0243453317625804,-0.7871268272028454,-0.312702951878505,-0.8422490332794796,-0.391469971911186,0.4507790613682936,1.0,-1.7281553398058254,0.4805825242718446,-0.830521255537751,0.0,-0.23302505428169687,-0.8422490332794796,0.6092239789977828
P025,2026-08-17 09:32:50,21.0,5.0,5th,CSE,CSE,Woman,Both parents,Both parents,0,5.0,4.0,-1.0,Secure,4,2,4,1,4,3,2,1,2.5,1,2,4,4,2.75,3,1,5,1,5,4,3.1666666666666665,2,3,4,3,5,6,3.8333333333333335,3,4,4,3,5,5,4.0,2,2,3,2.333333333333333,1,1,2.0,1,1.0,1,3.0,1,,0,,0,,0,3,"No, thank you",2,1.405478373411729,0,0,1,0,1,0.9461745287454428,0.1589841324322642,-0.0830508407003666,-0.8033959481651568,-0.7871268272028454,0.5348866282132322,0.5525793305888536,-0.2846717469637841,-0.8372510775526377,0.0,-0.9781553398058254,-1.769417475728155,1.7307651522292395,1.0,-0.4432233944327617,0.5525793305888536,-0.9958027250216153
P026,2026-08-17 09:38:35,20.0,5.0,5th,ECO,ECO,Man,Both parents,Both parents,1,5.0,5.0,0.0,Dismissing,3,5,6,5,4,6,3,2,3.75,5,5,2,2,3.5,5,4,6,1,3,1,3.333333333333333,5,5,4,6,5,6,5.166666666666667,3,2,3,4,4,2,3.0,2,3,3,2.6666666666666665,1,2,,0,,0,2.0,1,3.0,1,1.0,1,,0,3,"No, thank you",2,1.5417027244707049,0,0,1,0,1,0.1048279693717972,0.3106078883630342,0.3242937589252414,-0.8033959481651568,0.1780405918673101,0.5348866282132322,0.2077179288674157,0.0584562577101567,-0.149261671157259,1.0,0.2718446601941746,-1.019417475728155,-0.2771231972853236,1.0,-0.2395510946199577,0.20771792886741577,-0.44726902348737346
P027,2026-08-17 10:07:43,20.0,5.0,5th,CSE,CSE,Man,Both parents,Both parents,0,5.0,5.0,0.0,Dismissing,5,2,6,4,2,2,1,4,2.25,4,6,4,7,5.25,4,4,6,1,5,2,3.6666666666666665,3,2,4,1,4,2,2.6666666666666665,2,2,2,3,3,2,2.333333333333333,3,3,3,3.0,2,3,2.0,1,3.0,1,,0,,0,1.0,1,,0,3,Yes — either is fine,4,1.5288683473881326,0,0,1,0,1,-0.4560697368773,0.6138554002245749,0.7316383585508495,-0.8033959481651568,1.1432080109374658,-0.312702951878505,0.0788928316736373,0.1896868673611633,0.110794035687526,1.0,-1.2281553398058254,0.7305825242718447,-0.897268828353285,0.0,-0.03587879480715367,0.07889283167363739,-0.11477162648079106
P028,2026-08-17 10:18:17,20.0,3.0,3rd,EEE,EEE,Man,Both parents,Both parents,3,4.0,7.0,3.0,Preoccupied,4,4,4,5,6,4,6,3,4.75,4,5,3,4,4.0,3,3,5,2,6,6,4.166666666666667,3,3,5,5,2,2,3.333333333333333,5,4,4,4,4,5,4.333333333333333,3,3,2,2.6666666666666665,1,2,1.0,1,,0,,0,,0,2.0,1,3.0,1,3,"No, thank you",4,1.2798167972341816,0,0,1,0,1,1.2266233818699912,1.068726668016886,0.3242937589252414,-0.3895253082012882,0.1780405918673101,0.5348866282132322,1.1476750249434384,0.1619239177011238,-0.9857511072423144,1.0,1.2718446601941746,-0.5194174757281553,-0.6606183429163917,1.0,-0.0326157746380234,1.1476750249434384,-1.1802907995814618
P029,2026-08-17 10:30:26,23.0,5.0,5th,PHY,MNS,Man,Both parents,Both parents,1,3.0,3.0,0.0,Dismissing,5,5,7,3,5,5,2,1,3.25,6,6,5,4,5.25,4,5,5,1,4,1,3.333333333333333,5,3,2,4,3,6,3.8333333333333335,2,3,3,2,4,1,2.5,2,3,3,2.6666666666666665,2,2,2.0,1,3.0,1,1.0,1,,0,,0,,0,3,"No, thank you",2,1.594324910795245,0,0,1,0,1,-0.3158453103150255,0.3106078883630342,0.3242937589252414,0.0243453317625804,0.1780405918673101,-0.312702951878505,-0.0026187109759956,0.0534941826691567,0.0561128936451523,1.0,-0.2281553398058253,0.7305825242718447,-0.1666863040814404,1.0,0.17431954534391092,-0.0026187109759956417,0.17693825631990656
P030,2026-08-17 10:32:24,21.0,6.0,6th,EEE,EEE,Woman,Househelp ,Other,0,2.0,1.0,-1.0,Dismissing,4,1,7,7,1,4,5,7,4.25,7,7,7,7,7.0,1,2,1,1,1,2,1.3333333333333333,6,4,6,6,1,6,4.833333333333333,3,1,1,3,4,2,2.333333333333333,2,2,2,2.0,2,2,2.0,1,3.0,1,,0,,0,,0,,0,2,"No, thank you",5,2.339424374486357,0,0,1,0,1,-0.4560697368773,-1.508877182806208,-0.4903954403259741,0.438215971726449,0.1780405918673101,-0.312702951878505,-0.982473459841754,-0.04671045715268,0.935763002689074,0.0,0.7718446601941746,2.4805825242718447,1.91462437553021,1.0,-0.02608973429976255,-0.982473459841754,0.9563837255419915
P031,2026-08-17 10:33:20,23.0,9.0,9th,CSE,CSE,Man,Grandparents or other relatives,Grandparents / other relatives,2,3.0,3.0,0.0,Fearful,4,3,5,5,6,6,6,5,5.75,6,5,7,6,6.0,5,2,6,2,4,5,4.0,3,5,1,5,5,2,3.5,4,4,4,5,5,5,4.5,4,3,2,3.0,1,4,3.0,1,1.0,1,2.0,1,,0,,0,,0,3,Yes — either is fine,3,1.5240275911289034,0,0,1,0,1,1.3668478084322655,0.9171029120861154,0.7316383585508495,0.0243453317625804,2.108375430007621,0.5348866282132322,1.1419753602591904,0.8498114371335709,-0.2921639231256195,1.0,2.271844660194174,1.480582524271845,3.3636535017438023,0.0,0.37799184515671497,1.1419753602591904,-0.7639835151024754
P032,2026-08-17 10:36:20,22.0,6.0,6th,CSE ,CSE,Man,Grandparents or other relatives,Grandparents / other relatives,0,1.0,5.0,4.0,Secure,4,3,3,4,7,7,3,3,5.0,7,3,1,3,3.5,1,3,1,1,1,6,2.1666666666666665,1,1,3,6,6,1,3.0,1,1,1,1,4,3,1.8333333333333333,3,3,3,3.0,1,2,3.0,1,2.0,1,,0,,0,1.0,1,,0,3,"No, thank you",5,2.103246376484944,0,0,1,0,1,-0.8767430165641227,-0.750758403152357,0.7316383585508495,0.8520866116903177,0.1780405918673101,0.5348866282132322,-0.8137507098582398,0.5741630475804274,1.387913757438667,1.0,1.5218446601941746,-1.019417475728155,-1.5513950419455178,1.0,0.7918624851205835,-0.8137507098582398,1.6056131949788233
P033,2026-08-17 10:39:56,24.0,5.0,5th,CSE,CSE,Man,One parent,One parent,0,4.0,1.0,-3.0,Dismissing,4,5,5,4,2,6,5,5,4.5,6,7,3,1,4.25,1,1,1,1,6,1,1.8333333333333333,6,6,6,6,6,6,6.0,4,1,1,1,1,2,1.6666666666666667,3,3,1,2.333333333333333,1,2,1.0,1,,0,,0,,0,,0,,0,1,"No, thank you",6,2.2915565729638,0,0,1,0,1,-1.0169674431263969,-1.0540059150138972,-0.0830508407003666,-0.3895253082012882,0.1780405918673101,0.5348866282132322,-1.035486679070147,0.0600877677947218,1.0955744468648687,1.0,1.0218446601941746,-0.2694174757281553,-0.2753028089358091,1.0,-0.23628807445082742,-1.035486679070147,0.7991986046193195
P034,2026-08-17 10:41:39,21.0,5.0,5th,cse,CSE,Man,One parent,One parent,0,0.0,0.0,0.0,Dismissing,7,1,7,7,1,1,5,3,2.5,7,7,7,7,7.0,6,6,6,6,1,1,4.333333333333333,6,6,6,6,6,6,6.0,5,5,5,1,1,5,3.6666666666666665,4,4,4,4.0,0,2,,0,2.0,1,,0,3.0,1,1.0,1,,0,3,Yes — either is fine,6,2.1114279714964788,0,0,1,0,1,0.6657256756208942,1.2203504239476557,1.9536721574276728,1.2659572516541864,0.1780405918673101,1.3824762083049695,0.9430380497842747,1.195036552313535,0.2519985025292598,1.0,-0.9781553398058254,2.4805825242718447,-2.4263950419455185,0.0,1.6098147045409297,0.9430380497842749,0.6667766547566548
P035,2026-08-17 10:45:04,20.0,4.0,4th,EEE,EEE,Man,Both parents,Both parents,1,15.0,15.0,0.0,Secure,6,2,5,2,1,1,1,1,1.0,7,3,4,5,4.75,4,2,6,1,1,2,2.6666666666666665,3,5,2,6,5,5,4.333333333333333,3,2,1,2,2,2,2.0,1,1,1,1.0,4,2,2.0,1,,0,,0,,0,3.0,1,1.0,1,3,"No, thank you",4,1.8642342819849869,0,0,1,0,1,-0.7365185900018484,-0.2958871353600463,-1.7124292392027978,-4.942102347803843,0.1780405918673101,-2.007882112061979,-0.5162028626809474,-2.121093276800328,-1.6048904141193805,1.0,-2.4781553398058254,0.2305825242718446,-0.5714193137901782,1.0,-3.3272657935033205,-0.5162028626809474,-2.811062930822373
