idx,q,pid,words,stance,stance_rule,demands_instance,hedges,first_sg,tags,text
22,7,P6,198,E,E,False,0,26,AVOIDANCE,"I want to add to that. In my last semester, I repeated a course, so in that section, I had no friends, and it didn't even bother me, to be honest. Because when I took that course, I knew I would do well in it. I am absolutely going to do well in that course, so most of the time, I used to sit at the back. I didn't even pay attention to that class because I knew I'd do well. I used to sit at the back, the faculty knew me, and I was able to answer her questions. And yes, after finals, I did end up making some friends from that section. So, speaking for myself, if I'm in these kinds of scenarios, I can make friends pretty easily, but I don't pursue it. I'm the type of guy who believes that I don't necessarily have to belong to a certain friend group or circle. I didn't have a dedicated friend group in my school life. So, I don't think there must be a friend group where you can only sit with them and talk to them exclusively, and you have to be bound by it."
23,7,P8,75,E,E,False,3,10,REJECTION,"I also agree with him. I have been in the same situation since my first semester, but what I would always do is go and directly approach them, and pretty much always, it has worked out positively for me. And if you accumulate those situations... I think I used to care what other people might think or say about me, but now I approach people directly because past good experiences prompt me to do it."
24,8,P2,105,D,E,True,4,13,AVOIDANCE,"I think in terms of handling this situation, it should be up to me. My personal experience is that if something like this happens to me, I'd just assume maybe there's a problem that my friend is going through and ask my other friends or figure something out myself. Because you shouldn't rely entirely on someone else. I would always like to think about this positively, mainly because of the friend itself, or maybe I am used to thinking about situations positively. Maybe both. And in my previous experiences, I found enough reasons to think about that friend and my situation in a positive way."
25,8,P1,82,D,D,True,3,6,ANXIETY,"It depends on the friendship or the person whether I would text him another time in the morning or at night. If that friend is really close, my situation is actually kind of serious, and he is still unresponsive, I'll probably ask if he's okay or not. If there's really a problem and they explain it to me, I would understand or try to do something about it. If they're just being unresponsive, I don't really have anything to do about that."
26,8,P9,56,G,G,True,0,0,ANXIETY,"The thing about reading a message and being ""active"" online is that we can't really tell if he has seen the message or not. Being active doesn't mean he has seen it. If it was a case where he had seen the message and hadn't replied, then there would be a problem. Besides that, it's nothing."
27,8,P4,5,A,A,True,0,1,,"Yes, I agree as well."
28,8,P2,14,D,D,True,0,3,AVOIDANCE,I don't think any friend of mine would think negatively about me like that.
29,8,P5,17,D,D,True,0,1,AVOIDANCE,"Yes. If that is the case, they're not a good friend of mine, as simple as that."
30,8,P4,14,D,D,True,0,1,AVOIDANCE,Why would they think like that? I don't think they will. (Mostly everybody agrees)
31,8,P6,167,D,D,True,4,18,AVOIDANCE,"I think if I was in a position like this where I could be vulnerable and needed a friend to depend on at that time... maybe I need their help, but if I see that even in the morning that person hasn't replied, yet they are active online. Suppose I messaged at 3 AM and I have a class at 7 AM in the morning. If I still see nobody, or the one friend whom I texted hasn't replied, I would simply delete that message. Because I think four hours is enough for me to mentally get out of whatever situation has happened. I don't really want to depend that much on someone like that. I would expect them to see it and probably reply, ""Oh, sorry, bro. I accidentally didn't see the message or forgot to reply,"" or I'd expect a call later on when I am already out of that phase. I don't think this matters a lot because there's a thing called crocodile tears."
32,8,P5,33,G,D,True,1,1,,"I think if you're vulnerable, you call them. Like, if you texted them and they haven't seen it, simply call them. (P6 agrees). So, if he is active, he would take the call."
33,8,P6,62,D,D,True,3,8,AVOIDANCE,"Yeah. Sending a text... he might be completely fine or busy, just like I might be busy at night too. I get that. But what I'm trying to say is that if I can deal with it myself and I'm completely fine, I probably won't talk to them about that matter again. It's like I don't need you in that category anymore."
34,8,P5,63,E,D,True,2,9,AVOIDANCE,"If I tell you about my perspective, I play games all night, and I won't see any texts. So, if someone is close to me, they know to just call me, and I will pick up the call. Sometimes it might happen that they are working. I think giving a call would be helpful, at least if I were on the other end."
35,8,P6,31,E,D,True,1,5,AVOIDANCE,"Okay, yeah. I also play games after turning my notifications off. I can understand that perspective of not being able to see the text or that I myself might be unavailable."
36,9,P1,100,G,D,True,1,3,AVOIDANCE,"I personally think that humans are social beings, and it is a must that they depend on each other. Now, here's the thing: if I am dependent on someone that I don't know or don't have any kind of friendship with... It's true that humans are social beings, but you cannot be constantly dependent on people. One simply can't live independently all the time. In life, you should have inner strength on your own, and on some occasions, you just have to depend on some people. From this perspective, if people need each other, that's not a sign of weakness."
37,9,P4,11,G,D,True,0,1,AVOIDANCE,But I do think we never should be overdependent on someone.
38,9,P1,57,G,D,True,1,8,AVOIDANCE,"Yeah, I also agree with that. I'm just talking about the absolutely necessary portion of dependence. I can never escape or get out of things that I absolutely have to depend on people for. After all, I'm human; I need others. But if I become someone who constantly needs other people, that's completely not okay, I think."
39,9,P7,16,G,D,True,1,1,AVOIDANCE,"I think at that point, people around them know that they can't live without someone else."
40,9,P8,64,G,D,True,3,2,,"From the dawn of civilization, I think people mostly lived alone before becoming civilized. And after that, they realized we can't possibly live alone or as nomads. Living in a society, we need each other. No matter if it's for shelter, food, or whatever it is, it's easier to do it together. So from then on, I think it has been programmed within us."
41,9,P7,58,G,G,True,0,0,AVOIDANCE,"It should be to a certain level. And this dependency should be on a specific amount of people. It's not like we have to go and ask for a favor from strangers. First, we have to ask people close to us. If the problem is solved, there is no need to involve random people on a broader level."
42,11,P4,20,D,D,True,1,2,REJECTION,I think their behavior is a clear enough sign to understand that they don't want to hang out with me.
43,11,P2,2,G,G,True,0,0,REJECTION,Body language.
44,11,P8,9,G,G,True,0,0,REJECTION,There's a certain vibe that you can tell by.
45,11,P6,29,G,D,True,1,2,REJECTION;LONELINESS,"Aside from that, if the person trying to fit in overthinks, they probably think, ""I feel left out here, why would I go there?"" That is also a ""no."""
46,11,P1,20,D,D,True,0,2,REJECTION,It's like the environment. The environment and actions are telling me whether I should stay in this group or not.
47,11,P5,8,G,G,True,0,0,REJECTION,It's by their body language and the environment.
48,11,P6,5,G,G,True,0,0,REJECTION,The overall environment and tone.
49,11,P9,24,G,G,True,1,0,REJECTION,"In a group, there are a lot of people. They might be talking to each other more. It's their tone, body language, and style."
50,11,P3,54,D,D,True,0,7,LONELINESS;NERVOUSNESS,"Let's say there's a discussion, and in that discussion, they are just talking among themselves and not even trying to make me feel included. I don't have any topics to talk about, and I'm thinking, ""What should I say? What should I say?"" So, that's when I'll know I need to leave that place."
51,11,P2,24,D,D,True,1,2,REJECTION,"If they just invite me to hang out or to go someplace, they probably just included me for entertainment purposes because it'll be fun."
52,11,P1,41,G,D,True,0,1,REJECTION,"Yes, it's more than just inviting someone to go somewhere. Friendship is about the conversations, the vibe, and everything. If it's just about going somewhere together and just being there for entertainment purposes, I don't think that is a suitable group."
53,11,P9,4,A,A,True,1,1,,I think the same.
54,12,P9,28,D,D,True,2,4,APPROACH_AVOIDANCE,"It might be because if I somehow become attached to that person and something goes wrong after that, I think I'm protecting myself from that pain or hurt."
55,12,P2,22,G,D,True,1,2,NERVOUSNESS,"I think I will agree with him. Becoming friends with someone is a hard thing. In that process, overthinking will always come."
56,12,P1,55,G,D,True,1,1,APPROACH_AVOIDANCE,"I think whether or not we would close that gap depends on the friendship—if they're our good friends. We'd automatically overcome that gap after becoming friends with them. It doesn't happen overnight, but it does happen quickly, and if it doesn't happen, that's not the right person or group of people you should be with."
57,12,P4,27,G,G,True,0,0,APPROACH_AVOIDANCE,"If there are so many negative thoughts about that particular person, why would we even go or intend to be friends with them in the first place?"
58,12,P8,18,D,D,True,2,4,APPROACH_AVOIDANCE,"I think it's mostly overthinking. I wish to be friends, but I am also being careful, I think."
59,12,P2,22,G,G,True,1,0,REJECTION,"Yeah, probably this is the fear of rejection, and we think they won't be how we thought or want them to be."
60,12,P4,13,G,G,True,0,0,NERVOUSNESS,It's on us that we think or overthink. It's our own psychological problem.
61,12,P6,27,D,D,True,0,1,APPROACH_AVOIDANCE,Yeah. Because they are unaware of the fact that I'm considering them as a friend but also thinking about all of this. (Majority agrees to this point)
62,12,P6,25,D,D,True,0,1,APPROACH_AVOIDANCE,They don't really know we are debating whether we want them as a friend or not. They are just being themselves. That's completely my problem.
63,13,P4,53,E,E,False,0,7,LONELINESS,"Honestly, in the case of friendship, I had no expectations, sorry. No, I definitely didn't think I wanted to be alone or anything. I just didn't think about friendship when admitting to BRAC University. I thought a new part of my life was starting, but regarding friendship, I didn't really think about anything."
64,13,P6,67,E,E,False,0,5,AVOIDANCE,"I didn't want to make mistakes by being friends with the wrong people. I didn't really have any expectations at first. And I went with this decision because I didn't want to make any full-fledged friendships right from the start. Because in university life, in the first year or first semester, if I befriend the wrong people, that can be harmful in the long run. That's it."
65,13,P4,10,Q,Q,False,0,0,,But how did you know they were the wrong friends?
66,13,P6,168,E,E,False,3,19,AVOIDANCE,"Well... wrong or not depends on my morality, and I have a certain type of morality, first of all. If I found someone following and respecting the same values as me, I started to engage with them. The thing is, I don't smoke. I would like to be friends with people who don't smoke. I think I'd probably hang out with people, have conversations, and then if we had something in common, I'd consider them my friends. Yeah, I would agree that most people have a big circle at first. Then people eventually leave the circle, and it's not necessarily that they're bad people or bad friends. Personally, I didn't make that many friends in my first semester. I had a few friends. [a friend] is here; [a friend] is one of my first-semester friends. Again, I just hung around probably 5-6 people, not more than that. So, yeah, in my friend circle, there were only 4 people. It wasn't that big, and I just left because we drifted apart."
67,13,P9,108,E,D,False,0,5,AVOIDANCE,"I also didn't consider making friends a priority when I got admitted. But in the case of making friends, I have some priorities and conditions, like our vibes should match, and we should have a solid understanding. And there is another thing people do: make friends solely for their own benefit. That is not the priority, but if it's the other way around and that friendship is costing me something, I definitely don't want that. Also, we have to connect; they have to relate in some way. It's not like we'd just go hang out or go someplace to eat, not necessarily, no... we just have to connect."
68,13,P2,87,D,D,False,1,7,AVOIDANCE,"I don't think you have to ask someone to be friends. I personally find it very uncomfortable that you need to ask someone. It just happens. I don't have any expectations; I just go along with it. But one thing is, I definitely wouldn't like to be friends with someone who is an extremist or has an extreme mindset on any topic. Whatever it might be, I wouldn't want to stand for that. But yeah, I just like to go along with it and see what happens."
69,13,P5,57,E,E,False,2,12,AVOIDANCE,"I needed to survive for myself; that was my expectation. What would I do, or what could I do about what other people might or might not say? Yeah, like I said, I don't care how people judge me, talk about me, or what they have to say about me. I just wanted to survive for myself."
70,13,P1,35,E,E,False,0,3,AVOIDANCE,"So I had expectations regarding the university, but in the case of making friends or friend groups, I had no expectations. I came to this university mainly because of the resources it had to offer."
71,13,P7,33,E,E,False,2,2,AVOIDANCE;LONELINESS,"Kind of the same. Because it's open credit, I didn't expect people to stick around. Maybe some good section mates, some helpful people in group projects... I didn't have many expectations besides this."
72,13,P8,26,D,D,False,0,3,,"I would like to talk about a more recent expectation. I expect a good, nerdy, full-time student would offer me a spot in their thesis group."
73,13,P2,87,G,G,False,0,0,AVOIDANCE,"The best thing is to not expect anything from anyone. Because if they cannot meet those expectations, you'll feel bad. At the end of the day, you're on your own. Conclusion The session concluded with the moderator reassuring the participants that everything discussed during the focus group will be kept strictly confidential, as outlined in the signed consent forms. Additionally, the moderator reminded everyone that if anyone is struggling with mental health issues, professional support and resources are readily available through BRAC University's Counseling and Wellbeing Unit."
